projid,library_ids,batch,index
10100574,D19-10914_9,1,1
10100862,D19-4140|D19-4140,1,2
10101291,D17-8793,1,3
10101327,D17-8772,1,4
10101589,D19-7499|D19-7499,1,5
10102206,D17-8787,1,6
10202345,D19-5032|D19-5032,1,7
10203224,D19-4160|D19-4160,1,8
10205244,D19-5028|D19-5028,1,9
10222853,D17-8766,1,10
10246987,D19-7308|D19-7308,1,11
10248033,D17-8756,1,12
10249336,D19-5954|D19-5954,1,13
10253148,D19-5939|D19-5939,1,14
10260309,D17-8755,1,15
10261026,D17-8781,1,16
10263208,D19-4142|D19-4142,1,17
10271474,D19-5034|D19-5034,1,18
10277308,D19-4135|D19-4135,1,19
10288185,D17-8767,1,20
10290265,D17-8760,1,21
10290427,D19-4770|D19-4770,1,22
10291856,D19-2472,1,23
10292311,D19-5962|D19-5962,1,24
10298957,D19-8352,1,25
10300914,D19-6003|D19-6003,1,26
10310236,D22-2707,1,27
10315029,D19-7310|D19-7310,1,28
10345561,D19-5993|D19-5993,1,29
10383017,D19-4110|D19-4110,1,30
10394182,D19-7343,2,31
10405008,D19-7311|D19-7311,2,32
10435090,D19-5986,2,33
10436131,D19-7284|D19-7284,2,34
10438999,D19-8344,2,35
10460587,D19-5053|D19-5053,2,36
10473384,D19-7342,2,37
10484873,D19-4126|D19-4126,2,38
10485914,D20-7432|D20-7432,2,39
10490993,D19-5951|D19-5951|D20-7452|D20-7452,2,40
10502798,D19-4145|D19-4145,2,41
10510090,D19-7285|D19-7285,2,42
10514454,D17-8759,2,43
10516762,D19-5978,2,44
10518782,D19-4107|D19-4107,2,45
10536568,D17-8765,2,46
10551157,D19-7322,2,47
10557081,D19-5050|D19-5050,2,48
10577337,D19-7318,2,49
10669174,D19-5959|D19-5959,2,50
10684501,D19-2459,2,51
10866165,D19-4781|D19-4781,2,52
10901987,D19-5988,2,53
10929637,D19-5931|D19-5931,2,54
11072071,D17-8797,2,55
11157783,D19-5058|D19-5058,2,56
11159965,D17-8798,2,57
11165535,D19-6013|D19-6013,2,58
11173549,D19-4137|D19-4137,2,59
11200645,D17-8768,2,60
11240247,D20-7442|D20-7442,3,61
11259716,D19-4109|D19-4109,3,62
11302830,D17-8800,3,63
11310718,D17-8782,3,64
11310844,D19-5055|D19-5055,3,65
11326252,D19-5038|D19-5038,3,66
11327005,D19-4161|D19-4161,3,67
11331231,D19-5027|D19-5027,3,68
11336574,D17-8754,3,69
11342432,D17-8771,3,70
11345331,D17-8792,3,71
11349119,D19-4141|D19-4141,3,72
11371707,D19-8335,3,73
11392518,D19-8347,3,74
11395417,D19-4155|D19-4155,3,75
11399321,D17-8799,3,76
11399871,D17-8791,3,77
11409232,D17-8753,3,78
11413170,D19-5030|D19-5030,3,79
11430815,D19-4156|D19-4156,3,80
11444465,D19-5957|D19-5957,3,81
11453772,D19-5938|D19-5938,3,82
11455530,D19-7282|D19-7282,3,83
11460357,D19-6012|D19-6012,3,84
11467746,D19-5976|D19-5976,3,85
11469504,D19-4788|D19-4788,3,86
11471260,D19-4149|D19-4149,3,87
11606935,D19-5031|D19-5031,3,88
11609672,D17-8788,3,89
11612505,D19-8331,3,90
11615242,D19-5991,4,91
11616707,D19-5041|D19-5041,4,92
11619606,D19-7330,4,93
11624423,D19-5040|D19-5040,4,94
11630705,D17-8794|D19-4800|D19-4800,4,95
11632851,D19-4116|D19-4116,4,96
11652071,D19-5036|D19-5036,4,97
11681508,D19-2473,4,98
11697592,D19-5054|D19-5054,4,99
1211411,D19-2488,4,100
12365619,D19-4118|D19-4118,4,101
14184286,D19-7500|D19-7500,4,102
14498577,D19-7291|D19-7291,4,103
15113169,D19-5045|D19-5045,4,104
15114174,D19-5043|D19-5043,4,105
15121461,D19-5934|D19-5934,4,106
15144878,D19-4151|D19-4151,4,107
15161351,D19-4787|D19-4787,4,108
15176592,D19-4154|D19-4154,4,109
15218541,D19-2465,4,110
15413198,D19-2474,4,111
15420223,D19-5933|D19-5933,4,112
15483818,D19-4112|D19-4112,4,113
15495024,D19-6000|D19-6000,4,114
15738428,D19-4150|D19-4150,4,115
15844425,D19-4113|D19-4113,4,116
16068769,D19-4127|D19-4127,4,117
17929065,D19-4772|D19-4772,4,118
18414513,D19-7290|D19-7290,4,119
18659212,D19-10914_15,4,120
18920002,D19-8350,5,121
20104101,D17-8769,5,122
20109020,D19-1423,5,123
20112377,D17-8758,5,124
20124321,D19-5037|D19-5037,5,125
20128523,D19-1424,5,126
20139562,D19-7329,5,127
20139850,D19-4103|D19-4103,5,128
20143248,D19-6007|D19-6007,5,129
20147440,D19-4147|D19-4147,5,130
20149910,D17-8783,5,131
20151388,D19-2458|D19-4144|D19-4144,5,132
20153010,D19-1421,5,133
20156469,D19-5035|D19-5035,5,134
20170043,D17-8762,5,135
20173942,D17-8796,5,136
20179164,D17-8775,5,137
20185860,D19-10752|D19-10752,5,138
20195344,D19-5989,5,139
20201189,D19-4148|D19-4148,5,140
20201891,D20-7438|D20-7438,5,141
20201927,D19-4776|D19-4776,5,142
20205705,D19-7307|D19-7307,5,143
20207013,D17-8757,5,144
20208992,D19-1432,5,145
20223617,D19-8342,5,146
20225925,D19-4153|D19-4153,5,147
20244554,D19-10914_1,5,148
20248206,D19-1419,5,149
20249897,D17-8789,5,150
20254588,D19-8337,6,151
20254740,D17-8779,6,152
20254876,D19-6023|D19-6023,6,153
20254902,D19-4777|D19-4777,6,154
20261901,D17-8770,6,155
20263921,D19-7337,6,156
20275399,D17-8785,6,157
20282398,D17-8786,6,158
20282974,D19-1434,6,159
20288196,D19-4138|D19-4138,6,160
20297403,D19-1435,6,161
20311676,D19-5990,6,162
20339740,D19-1427,6,163
20344143,D19-6014|D19-6014,6,164
20366419,D20-7444|D20-7444,6,165
20376029,D19-5975|D19-5975,6,166
20380417,D19-7494|D19-7494,6,167
20399274,D19-2485,6,168
20416210,D19-5995|D19-5995,6,169
20455807,D19-8329,6,170
20487369,D19-2461,6,171
20500815,D19-10914_6,6,172
20504017,D19-8323,6,173
20521752,D19-5940|D19-5940,6,174
20532115,D19-4779|D19-4779,6,175
20535564,D19-1430,6,176
20561642,D19-7289|D19-7289,6,177
20569910,D19-4769|D19-4769,6,178
20583594,D19-7313,6,179
20584923,D19-2484,6,180
20594407,D19-7332,7,181
20611993,D19-5949|D19-5949,7,182
20630946,D19-5965|D19-5965,7,183
20634274,D19-1433,7,184
20646778,D19-2446,7,185
20674902,D19-7316,7,186
20682204,D19-4796|D19-4796,7,187
20726273,D19-6002|D19-6002,7,188
20730959,D19-10914_5,7,189
20767628,D19-5969|D19-5969,7,190
20774339,D19-4782|D19-4782,7,191
20779834,D19-8326,7,192
20780035,D19-6017|D19-6017,7,193
20798913,D19-5052|D19-5052,7,194
20821943,D19-7498|D19-7498,7,195
20834164,D19-7323,7,196
20875195,D19-4108|D19-4108|D20-7436|D20-7436,7,197
20892128,D19-8351,7,198
20902039,D19-1426,7,199
20904509,D19-4152|D19-4152,7,200
20906079,D19-2470,7,201
20907534,D19-8345,7,202
20929774,D19-4139|D19-4139,7,203
20935218,D19-1422,7,204
20939708,D19-7306|D19-7306,7,205
20939834,D19-10751|D19-10751|D19-1525,7,206
20942767,D19-5935|D19-5935,7,207
20947550,D19-4125|D19-4125,7,208
20956605,D19-5051|D19-5051,7,209
20956867,D17-8763,7,210
20963578,D19-4136|D19-4136|D19-5029|D19-5029,8,211
20963866,D17-8780,8,212
20970441,D19-5937|D19-5937,8,213
20974481,D19-5950|D19-5950,8,214
20976799,D19-4132|D19-4132,8,215
20977678,D17-8777,8,216
20978133,D17-8790,8,217
20993308,D19-2463,8,218
20996621,D19-5033|D19-5033,8,219
20998065,D19-4143|D19-4143,8,220
21000054,D22-2712,8,221
21000630,D20-7437|D20-7437,8,222
21001519,D19-7321,8,223
21001771,D19-2451,8,224
21001933,D19-5958|D19-5958,8,225
21002524,D19-6005|D19-6005,8,226
21101658,D19-4164|D19-4164,8,227
21112011,D19-5936|D19-5936,8,228
21126823,D17-8795,8,229
21135554,D17-8784,8,230
21138877,D20-7445|D20-7445,8,231
21142003,D17-8773,8,232
21151608,D19-1420,8,233
21156815,D19-5943|D19-5943,8,234
21157370,D19-6021|D19-6021,8,235
21159840,D17-8776,8,236
21171080,D19-2486,8,237
21172121,D17-8764,8,238
21180847,D19-1428,8,239
21181988,D19-10755|D19-10755,8,240
21189544,D17-8778,9,241
21191200,D19-10914_2,9,242
21193068,D19-5964|D19-5964,9,243
21272396,D19-2441,9,244
21362537,D19-7327,9,245
21401399,D19-4105|D19-4105,9,246
21402016,D19-10914_7,9,247
21405627,D20-7451|D20-7451,9,248
